GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
juego-lucha,com.juego.strategy,Poder,0,21,0,0,0,7,0,3,0,3
juego-lucha,com.juego.strategy,FinalFlash,0,5,0,0,0,1,0,1,0,1
juego-lucha,com.juego.strategy,PunoDragon,0,5,0,0,0,1,0,1,0,1
juego-lucha,com.juego.strategy,KameHameHa,0,5,0,0,0,1,0,1,0,1
juego-lucha,com.juego.strategy,BigBangAttack,5,0,0,0,1,0,1,0,1,0
juego-lucha,com.juego.factory,PersonajeFactory,3,20,0,3,1,5,1,3,1,1
juego-lucha,com.juego.factory,PoderFactory,17,24,4,6,5,7,5,3,1,1
juego-lucha,com.juego,MainLucha,66,0,0,0,20,0,2,0,2,0
juego-lucha,com.juego.model,JuegoLucha,13,73,3,5,2,16,3,4,0,3
juego-lucha,com.juego.model,Vegeta,0,48,0,0,0,12,0,2,0,2
juego-lucha,com.juego.model,Personaje,15,79,0,4,3,20,3,8,3,6
juego-lucha,com.juego.model,Goku,0,48,0,0,0,12,0,2,0,2
